Course Title,Description,Prerequisites,Preq_Notes,Keywords,Course Code,Department,Credits,Difficulty
ACTG 3014 Accounting Core I - Accounting Fundamentals (4 Credits),"The course prepares the future accountant to understand how the accounting system and profession functions within marketplace. At the conclusion of this course the student should understand: (1) the fundamental elements and terminology of business transactions and related official accounting (2) the accounting system of recording, classifying and summarizing information, (3) economic and ethical issues relating to official accounting, and (4) technical and communication skills necessary for the professional accountant. The practice of technical skills is supplemented with learning concepts and techniques for effective oral and written business functions, with a focus on reinforcing speaking and writing skills through practice and feedback. Prerequisites: ACTG 2200, ACTG 2300. Prerequisite or Co-requisite: FIN 2800.","ACTG2200, ACTG2300, FIN2800",,"a focus, accountant, accounting, actg, business transactions, conclusion, economic and ethical issues, effective, effective oral and written business functions, element, ethical, feedback, fin, future, how the accounting system, information, learning, learning concepts, marketplace, necessary, official, official accounting, oral, profession, profession functions, professional, recording, related, requisite, technical, technical and communication skills, technical skills, technique, terminology, the accounting system, the conclusion, the course, the fundamental elements, the future accountant, the practice, the professional accountant, the student, this course, transaction",ACTG 3014,ACTG,4,Beginner
ACTG 3461 Individual Income Tax (4 Credits),"Federal income tax as it applies to individuals, including discussion of rates, exemptions, deductions, and accounting methods; gross income, property transactions, tax deferred exchanges; business operating taxpayer issues. Prerequisites: ACTG 2200.",ACTG2200,,"accounting, accounting methods, actg, business operating taxpayer issues, deduction, exchange, exemption, federal, federal income tax, gross, gross income, income, individual, property, property transactions, rate, tax, tax deferred exchanges, taxpayer, transaction",ACTG 3461,ACTG,4,Unknown
ACTG 2300 Accounting for Decision Making (4 Credits),"Introduces or reinforces concepts and techniques for using accounting information for managerial purposes. The focus is on interpreting official information and making business decisions, not accumulating or preparing accounting information. Students will learn the concepts of cost behavior, cost-volume-profit analysis, master budgeting, relevant factors for short -term decision making and cost allocation. Prerequisites: ACTG 2200, Microsoft Excel Certification, and admission to the Daniels College of Business.",ACTG2200,Admission to the daniels college of business. Microsoft excel certification.,"accounting, accounting information, actg, admission, allocation, behavior, budgeting, business decisions, certification, college, cost, cost allocation, cost behavior, cost-volume-profit analysis, excel, factor, information, introduce, managerial, managerial purposes, master, master budgeting, microsoft, microsoft excel certification, official, official information, profit, purpose, reinforce, reinforces concepts, relevant, relevant factors, short, short -term decision making, technique, the concepts, the daniels college, the focus, volume",ACTG 2300,ACTG,4,Beginner
ACTG 2010 Survey of Accounting (4 Credits),"Accounting for running a business, with modules on official accounting and a focus on managerial accounting. Prerequisite: Sophomore standing. Business minors only.",,Sophomore standing.,"a business, a focus, accounting, business minors, managerial, managerial accounting, module, official, official accounting, sophomore",ACTG 2010,ACTG,4,Unknown
ACTG 3281 Intermediate Financial Accounting I (4 Credits),The focus of this course is the foundation and content of published official statements. Specifically it covers the following broad topics: (1) Conceptual Framework of Ficial Reporting; (2) Ficial Statements and Related Disclosures; (3) Assets: Recognition and Measurement; and (4) Liabilities: Recognition and Measurement. Common to each of the topics is an emphasis on reading GAAP and applying GAAP guidance to fact patterns. Prerequisite: ACTG 2200.,ACTG2200,,"actg, an emphasis, asset, broad, common, conceptual, conceptual framework, disclosure, ficial, ficial reporting, ficial statements, foundation, gaap, gaap guidance, liability, measurement, official, pattern, published official statements, recognition, related, related disclosures, the focus, the following broad topics, the foundation, the topics, this course",ACTG 3281,ACTG,4,Intermediate
ACTG 3037 Cost Management (4 Credits),"Cost Management builds upon basic concepts and techniques for using accounting information for managerial purposes. The focus is on interpreting both high-level and detailed official information and making business decisions, not accumulating or preparing accounting information. After completing this course, the student should understand: • Cost behavior. • Techniques and uses of cost-volume-profit analysis. • Relevant factors for short-term decision-making. • Cost accumulation, tracing, and allocation. • Components and uses of the master budget. To master the course material, the student will need a basic understanding of historical official accounting, but the course emphasizes present and future management actions. Prerequisites: ACTG 2300 and ACTG 3018.","ACTG2300, ACTG3018",,"a basic understanding, accounting, accounting information, accumulation, actg, action, allocation, basic concepts, behavior, both high-level and detailed official information, budget, business decisions, component, cost, cost management, cost-volume-profit analysis, detailed, factor, future, high, historical official accounting, information, level, management, managerial, managerial purposes, master, material, official, present, present and future management actions, profit, purpose, relevant, short, short-term decision-making, technique, term, the course, the course material, the focus, the master budget, the student, this course, tracing, understanding, use, volume, • components, • cost accumulation, • cost behavior, • relevant factors, • techniques",ACTG 3037,ACTG,4,Beginner
ACTG 3069 Accounting Communications (4 Credits),"This course emphasizes critical communications skills for future accounting, tax, auditing and consulting professionals. The course develops written communication skills including but not limited to technical writing, reporting the results of research and explaining complex issues. Oral communication assignments include formal presentations, development of debate skills and boardroom presence. Assignments incorporate business etiquette and team building.",,,"accounting, assignment, auditing, boardroom, boardroom presence, business etiquette, communication skills, complex, complex issues, consulting, critical communications skills, debate, debate skills, etiquette, formal, formal presentations, future, future accounting, tax, auditing and consulting professionals, oral, oral communication assignments, presence, presentation, professional, result, tax, team, technical, technical writing, the course, the results, this course, writing",ACTG 3069,ACTG,4,Unknown
ACTG 3462 Corporate & Partnership Tax (4 Credits),"Federal income tax as applied to the formation, operation and dissolution of business entities. Determination of corporate taxable income, special deductions, credits, methods of computing tax liability and estimated tax requirements. Determination of partnership and S Corporation ordinary income; classification and amount of separately stated items allocable to partners and S Corporation shareholders in accordance with the conduit principle.",,,"accordance, allocable, business entities, classification, conduit, corporate, corporate taxable income, corporation, deduction, determination, dissolution, entity, estimated tax requirements, federal, federal income tax, formation, income, item, liability, operation, ordinary, partner, partners and s corporation shareholders, partnership, s corporation ordinary income, separately stated items, shareholder, special, special deductions, tax, tax liability, taxable, the conduit principle, the formation",ACTG 3462,ACTG,4,Unknown
ANTH 3255 Ancient North America (4 Credits),This course examines the history of American Indian cultures from their earliest archaeological traces on this continent up to and including contact with European explorers and colonists.,,,"american, american indian cultures, archaeological, colonist, contact, continent, early, european, european explorers, explorer, indian, the history, their earliest archaeological traces, this continent, this course, trace",ANTH 3255,ANTH,4,Unknown
ANTH 3620 Ethnoarchaeology (4 Credits),"Ethnography has often been used as an illustrative device to animate archaeological remains, or to develop models of human behavior, regardless of the geographic and chronological distance between the ethnographic and the archaeological data. This course addresses different perspectives and theories concerning the use of ethnoarchaeology to complement archaeological information. It aims to define the role of ethnoarchaeology in the study of human past; to establish an agenda of issues to which their use is relevant; and to provide a critical overview of major approaches to the use of ethnographic analogies and historical information in archaeology.",,,"a critical overview, agenda, an agenda, an illustrative device, analogy, archaeological, archaeological information, archaeological remains, archaeology, behavior, chronological, device, different perspectives, distance, ethnoarchaeology, ethnographic, ethnographic analogies, ethnography, geographic, historical information, human behavior, human past, illustrative, information, major approaches, past, perspective, relevant, remain, the archaeological data, the ethnographic, the geographic and chronological distance, the role, the study, the use, their use, this course, use",ANTH 3620,ANTH,4,Unknown
"ANTH 3880 Culture, Ecology, Adaptation (4 Credits)","This course is organized around these concepts: ""ecology, "" ""adaptation, "" ""landscape, "" ""technology, "" ""artifact, "" and ""architecture. "" The course focuses on defining and examining adaptation and the role of culture and technology in achieving adaptations, or in not achieving them. This focus will be especially pursued with respect to the concept of landscape--that is, culturally defined physical space--and the cultural artifacts that interpret and modify it in the course of human adaptation to its ecological components.",,,""" ""adaptation, "" ""artifact, "" ""technology, , culturally defined physical space, adaptation, architecture, artifact, component, ecological, ecology, human adaptation, its ecological components, landscape, physical, respect, space, technology, the concept, the course, the cultural artifacts, the role, these concepts, this course, this focus",ANTH 3880,ANTH,4,Unknown
ANTH 3990 Summer Field School-Archaeology (4-6 Credits),"Archaeological excavation, survey and recordings; analysis and conservation of artifacts in the field.",,,"archaeological, archaeological excavation, artifact, conservation, excavation, recording, survey, the field",ANTH 3990,ANTH,0,Unknown
ANTH 2040 Historical Archaeology (4 Credits),"Because it is the archaeology of periods for which there is also written history, historical archaeology is a dynamic and interdisciplinary field. It also has a distinct set of concerns and methods that builds upon, but does not replicate, those of prehistoric archaeology. This course is designed to engage students in the practice of historical archaeology through readings, discussions and the hands-on analysis of archaeological materials. The first class of each week is a discussion of readings in historical archaeology. The readings introduce students to theoretical and methodological issues in the discipline, as well as important case studies. Many of the readings have a North American focus but also address international practice. The second class of each week has a hands-on focus. Backed by readings on historic materials analysis, we discuss and practice the types of research historical archaeologists perform on actual materials, focusing on different material types each week. Students in the course each process and analyze a set of materials excavated from a historic site. Cross-listed with ANTH 4040. Prerequisite: ANTH 2310 or permission of instructor.","ANTH2310, ANTH4040",,"a discussion, a distinct set, a dynamic and interdisciplinary field, a hands-on focus, a historic site, a north american focus, a set, actual, actual materials, american, anth, archaeological, archaeological materials, archaeologist, archaeology, concern, cross, different material types, distinct, dynamic, each week, hand, historic, historic materials analysis, historical archaeology, important, important case studies, instructor, international practice, material, methodological, north, period, permission, prehistoric, prehistoric archaeology, reading, research historical archaeologists, second, set, site, the archaeology, the course, the discipline, the first class, the hands-on analysis, the practice, the readings, the second class, the types, theoretical and methodological issues, this course, type, week, written history",ANTH 2040,ANTH,4,Beginner
ANTH 3390 Geoarchaeology (4 Credits),"Use of geological methods to interpret archaeological sites, ancient landscape reconstruction, study of environmental change and habitation.",,,"ancient, ancient landscape reconstruction, archaeological, archaeological sites, environmental, environmental change, geological, geological methods, habitation, landscape, reconstruction, site, use",ANTH 3390,ANTH,4,Unknown
ANTH 2070 American Jewish Experience (4 Credits),"This course is cross-listed with JUST 2070 and RLGS 2070. In the aftermath of World War II, the United States emerged as the largest, wealthiest, and most organized Jewish community in the world. Taking the premise that America is a Jewish center as its key organizing principle, this course introduces and challenges theories of diaspora and looks at American Jewry’s religious and institutional innovations. The course will proceed inductively, taking Denver-based resources and experiences as starting points for an expansive exploration of American Jewish life, culture, and religion. We will focus on mainstream narratives alongside religious and cultural expressions at the margins of American Jewish life.","JUST2070, RLGS2070",,"a jewish center, aftermath, america, american, american jewish life, american jewry’s religious and institutional innovations, an expansive exploration, center, cross, denver, denver-based resources, diaspora, expansive, experience, exploration, expression, innovation, institutional, its key organizing principle, jewish, jewry, large, life, mainstream, mainstream narratives, margin, narrative, organizing, point, premise, religion, religious, religious and cultural expressions, resource, rlgs, starting, states, the aftermath, the course, the largest, wealthiest, and most organized jewish community, the margins, the premise, the united states, the world, this course, united, war, wealthy, world war ii",ANTH 2070,ANTH,4,Beginner
ANTH 2600 Museums and Public Culture (4 Credits),"A critical introduction to how cultures and peoples are presented in museums, festivals, tourism venues and the popular media. The course introduces students to the historical and contemporary role of museums and anthropology in public culture and the importance of both in civic life.",,,"a critical introduction, anthropology, civic, civic life, festival, importance, life, medium, museum, people, public, public culture, the course, the historical and contemporary role, the importance, the popular media, tourism, tourism venues, venue",ANTH 2600,ANTH,4,Beginner
ANTH 1006 Paranormal Archaeology (4 Credits),"This course explores the virtues and limitations of the scientific method for understanding human society and culture. To accomplish this goal it uses selected mysteries and puzzles from the human past that have intrigued, over many years, professional scientists and the general public alike. The course considers a wide variety of topics having anthropological relevance--Bigfoot, the Big Stone Heads of Easter Island, the Great Pyramids of Egypt, the Great Earthen Burial Mounds of North America, and other phenomena--in an effort to sort out hard facts, pure fantasies, and genuine mysteries. This course examines where the more outrageous explanations of mysterious phenomena come from, and investigates why such explanations are of continuing popularity in modern society. This course counts toward the Scientific Inquiry: Society and Culture requirement.",,,"a wide variety, america, an effort, anthropological, anthropological relevance, big, bigfoot, burial, continuing popularity, earthen, easter, easter island, effort, egypt, explanation, fact, fantasy, general, genuine, genuine mysteries, goal, great, hard, hard facts, head, human society, inquiry, investigate, island, limitation, many years, modern, modern society, mound, mysterious, mysterious phenomena, mystery, north, north america, other phenomena, outrageous, past, phenomenon, popularity, professional, professional scientists, public, pure, pure fantasies, puzzle, pyramid, relevance, scientist, selected mysteries, society and culture requirement, stone, such explanations, the big stone heads, the course, the general public, the great earthen burial mounds, the great pyramids, the human past, the more outrageous explanations, the scientific inquiry, the scientific method, the virtues, this course, this goal, variety, virtue, wide, year",ANTH 1006,ANTH,4,Unknown
ANTH 3470 Applied Anthropology (4 Credits),"The practical application of cross-cultural knowledge and awareness to the solution of social and cultural problems. Ethnographic methodologies, a review of the history of applied anthropology and a consideration of the ideological and ethical components of applied anthropology are covered.",,,"a consideration, a review, anthropology, applied, applied anthropology, awareness, component, consideration, cross, cross-cultural knowledge, ethical, ethnographic, ethnographic methodologies, ideological, methodology, review, social and cultural problems, solution, the history, the ideological and ethical components, the practical application, the solution",ANTH 3470,ANTH,4,Unknown
ANTH 3875 Research Methods in Anthropology (4 Credits),"This course offers an in-depth introduction to anthropological research methods with the aim of providing students with the tools necessary to design a coherent research proposal. Starting with the notion that anthropological research is a scientific endeavor, the course offers knowledge and skills that allow for a systematic application of qualitative and quantitative methods to respond to research questions. Students will learn when and how to use one method, as well as the implications of doing it. Students will also learn how to critically read research reports that use qualitative, quantitative, or mixed methods. The course is organized in two portions. The qualitative portion will focus on a detailed exploration of the continuum that goes from posing a research question, choosing a methodology, carrying it on, and reporting the results. The quantitative portion is concentrated on collecting numerical data, methods of which are often based on a qualitative understanding of people. Quantitative analysis will present tools used to take readings, acquire data, observations, and other information necessary to test hypotheses about people, cultures and how we can understand them from their material remains. The purpose of the quantitative part of the class is to determine what is statistically significant and what ideas about people are supportable using the scientific method. This course is required for all anthropology graduate students, and suggested for advanced undergraduates who are working on senior theses, and have an interest in anthropological research. The course is also open to non-anthropology students interested in anthropological research.",,,"a coherent research proposal, a detailed exploration, a methodology, a qualitative understanding, a research question, a scientific endeavor, a systematic application, advanced undergraduates, aim, all anthropology graduate students, an interest, anthropological, anthropological research, anthropological research methods, anthropology, coherent, continuum, depth, detailed, endeavor, exploration, graduate, hypothesis, idea, implication, information, interest, interested, material, methodology, mixed, necessary, non, non-anthropology students, notion, numerical, numerical data, observation, one method, open, other information, people, portion, proposal, purpose, qualitative, qualitative and quantitative methods, qualitative, quantitative, or mixed methods, quantitative, quantitative analysis, question, reading, remain, report, research questions, research reports, result, senior, senior theses, significant, supportable, systematic, the aim, the class, the continuum, the course, the notion, the purpose, the qualitative portion, the quantitative part, the quantitative portion, the results, the scientific method, the tools, their material remains, thesis, this course, tool, two portions, undergraduate, understanding, what ideas",ANTH 3875,ANTH,4,Advanced
ANTH 2000 Genealogies of Anthropology: Foundations and Futures (4 Credits),"Explores the development of anthropology as a field of study, including important thinkers, ideas, and movements in their historical and social contexts as well as their relevance to contemporary issues.",,,"a field, anthropology, contemporary issues, idea, important, important thinkers, movement, relevance, the development, their historical and social contexts, their relevance, thinker",ANTH 2000,ANTH,4,Unknown
"ANTH 3001 Race, Sex and Evolution (4 Credits)","The course examines the paleoanthropology of race and sex. Our focus is on the nature and evolution of human racial differences, sexual anatomy, reproductive strategies, and gender roles. We will consider the history of thinking about race and sex in anthropology and related disciplines, and the uses to which particular conceptions have been put in our culture. We will discuss and evaluate alternative models for explaining the evolution of alleged biological and behavioral differences between racial groups and between men and women. Evaluation will proceed in light of evolutionary theory, comparative primate anatomy and behavior, the human fossil record, and general anthropological knowledge. Our aim is to examine myth and reality in popular and scientific understandings of these aspects of the human condition and, in the end, the social and political (i. e. , policy) consequences of this knowledge. Enforced Prerequisites and Restrictions: ANTH 2105.",ANTH2105,,"aim, alleged biological and behavioral differences, alternative, alternative models, anatomy, anth, anthropological, anthropology, aspect, behavior, behavioral, biological, comparative, comparative primate anatomy, conception, condition, consequence, difference, end, enforced prerequisites, evaluation, evolution, evolutionary, evolutionary theory, fossil, gender, gender roles, general, general anthropological knowledge, group, human racial differences, light, man, myth, nature, our aim, our culture, our focus, paleoanthropology, particular, particular conceptions, popular and scientific understandings, primate, race, racial, racial groups, reality, record, related, related disciplines, reproductive, reproductive strategies, restriction, sex, sexual, sexual anatomy, strategy, the course, the end, the evolution, the history, the human condition, the human fossil record, the nature, the paleoanthropology, the uses, these aspects, this knowledge, understanding, use, woman",ANTH 3001,ANTH,4,Unknown
ANTH 3110 The Cultured Ape (4 Credits),"This course is an examination of human evolutionary psychology. Evolutionary Psychology deals with how contemporary human behavior is constrained by our heritage as evolved primates. It questions the standard social science and mainstream anthropological model of humans as ""blank slates"" who are primarily shaped by their social and cultural environments. In other words, Evolutionary Psychology views humans as ""cultured apes.",,,"""blank slates, an examination, anthropological, ape, behavior, blank, cultured, cultured apes, evolutionary, evolutionary psychology, examination, heritage, how contemporary human behavior, human evolutionary psychology, mainstream, mainstream anthropological model, other words, our heritage, primate, psychology, science, slate, standard, the standard social science, their social and cultural environments, this course, word",ANTH 3110,ANTH,4,Unknown
ANTH 2310 Fundamentals of Archaeology (4 Credits),"This course focuses on the practice of archaeology--why and how archaeologists recover and analyze their data. By the end of this course, students have an understanding not only of the nature of the archaeological record, but also how models of the past are built and interact with general public knowledge.",,,"an understanding, archaeological, archaeologist, archaeology, end, general, general public knowledge, nature, past, public, record, the archaeological record, the end, the nature, the past, the practice, their data, this course, understanding",ANTH 2310,ANTH,4,Unknown
ANTH 3290 Art and Anthropology (4 Credits),Study of the concept of art and its multiple roles in society from a cross-cultural and historical perspective. Commodification of culture through tourism and the global art market; arts of resistance and survival; and cultural expression and community development.,,,"a cross-cultural and historical perspective, art, commodification, community development, cross, cultural expression, expression, its multiple roles, market, multiple, perspective, resistance, survival, the concept, the global art market, tourism",ANTH 3290,ANTH,4,Unknown
ANTH 2010 Cultural Anthropology (4 Credits),"This course is an introduction to cultural anthropology. As one of anthropology’s main sub-fields, cultural anthropology provides conceptual and analytical tools for a comprehensive understanding of culture and its manifestations. It is concerned with the ways in which individual experience is inserted in social and historical contexts, providing meanings to everyday life. We will explore ideas and behaviors related to culture in different societies and social groups. Topics include culture, meaning, development, globalization, experience, kinship, identity, social hierarchy, and conflict. Course material combines introductory readings, academic articles and films with the analysis of journalistic pieces addressing currently important issues. It also combines the study of culture in the United States with that of other countries. Class meetings will consist of lectures to introduce topics and concepts and group discussions to apply the concepts and examine them critically. This course counts toward the Analytical Inquiry: Society and Culture requirement.",,,"a comprehensive understanding, academic articles, an introduction, analytical, anthropology, anthropology’s main sub, article, behavior, class meetings, comprehensive, conceptual, conceptual and analytical tools, conflict, contexts, country, course material, cultural anthropology, currently important issues, different societies, everyday, everyday life, experience, film, globalization, group, group discussions, hierarchy, idea, identity, important, individual, individual experience, inquiry, introductory, introductory readings, its manifestations, journalistic, journalistic pieces, kinship, life, manifestation, material, meaning, meeting, other countries, piece, reading, social and historical contexts, social groups, social hierarchy, society and culture requirement, states, sub, the analysis, the analytical inquiry, the concepts, the study, the united states, the ways, this course, tool, understanding, united, way",ANTH 2010,ANTH,4,Beginner
ANTH 3200 Human Origins and Evolution (4 Credits),"Examines the fossil record for human evolution from 6 million years ago to the origin of modern Homo sapiens, including current theories, evidence and controversies. Considers the historical and sociological contexts of human evolutionary studies, popular myths and misconceptions, and alternative scenarios for the future evolution of the human species.",,,"alternative, alternative scenarios, controversy, current theories, evidence, evolution, evolutionary, fossil, future, homo, human evolution, human evolutionary studies, misconception, modern, modern homo, myth, origin, popular myths, record, sapien, scenario, sociological, specie, the fossil record, the future evolution, the historical and sociological contexts, the human species, the origin, year",ANTH 3200,ANTH,4,Unknown
