Course,Course Title,Description,credit_hours,level
Accounting,ACTG 3068 Intermediate Financial Accounting III  (4 Credits),"This course is a continuation ofACTG 3018andACTG 3038and completes the examination of the foundation and content of published financial statements.  Specific topics include: stockholders' equity, investments in debt and equity securities, revenue recognition, income taxes, pensions, leases, statement of cash flows, accounting changes and errors, and interim reporting. Prerequisites:ACTG 3034,ACTG 3037, andACTG 3038.",4,Unknown
Accounting,ACTG 3069 Accounting Communications  (4 Credits),"This course emphasizes critical communications skills for future accounting, tax, auditing and consulting professionals. The course develops written communication skills including but not limited to technical writing, reporting the results of research and explaining complex issues. Oral communication assignments include formal presentations, development of debate skills and boardroom presence. Assignments incorporate business etiquette and team building.",4,Unknown
Accounting,ACTG 3130 RPA in the Business and Accounting Environment  (4 Credits),"Robotic Process Automation (RPA) is an emerging technology that is changing the way businesses process data. RPA allows many business processes to be automated and remove the human from performing repetitive tasks. This course will teach the basics of the technology using one of the most popular RPA software programs, UiPath. Students will learn the theory, design an application of RPA through small projects.",4,Unknown
Accounting,ACTG 3220 Understanding Financial Statements  (4 Credits),"Provides business majors with the necessary understanding to read, interpret, and use published financial statements. Cross listed withACTG 4222. Prerequisite:ACTG 2200and admission to Daniels.",4,Unknown
Accounting,ACTG 3230 Financial Statement Analysis  (4 Credits),"Consolidated financial statements, accounting for leases, currency translation, and options and futures impacts, GAAP to restate financial statements for differences between companies. Impact of financial transactions and evaluating a firm's performance from a user's perspective.",4,Unknown
Accounting,ACTG 3281 Intermediate Financial Accounting I  (4 Credits),The focus of this course is the foundation and content of published financial statements. Specifically it covers the following broad topics: (1) Conceptual Framework of Financial Reporting; (2) Financial Statements and Related Disclosures; (3) Assets: Recognition and Measurement; and (4) Liabilities: Recognition and Measurement. Common to each of the topics is an emphasis on reading GAAP and applying GAAP guidance to fact patterns. Prerequisite:ACTG 2200.,4,Unknown
Accounting,ACTG 3282 Intermediate Financial Accounting II  (4 Credits),"This course is a continuation of Intermediate Financial Accounting I. The focus of this course is the application of Generally Accepted Accounting Principles to complex business transactions. The course includes various intermediate accounting topics, including current and long-term liabilities, leases, income taxes, pensions, shareholders’ equity, earnings per share, the statement of cash flows, and other financial reporting issues. Prerequisite:ACTG 3281.",4,Intermediate
Accounting,ACTG 3284 Consolidated Financial Statement  (2 Credits),"Consolidation procedures, issues in the preparation and presentation of consolidated information, and interpretation of consolidated financial statements.",2,Unknown
Accounting,ACTG 3285 Accounting for Foreign Operations  (2 Credits),"Financial statement impact from doing business in a foreign currency, having foreign subsidiaries or operations, and certain hedging activities.",2,Unknown
Accounting,ACTG 3340 Topics and Cases in Managerial Accounting  (4 Credits),Topics & Cases in Managerial Accounting focuses upon contemporary methodologies used by managerial accountants. Such methodologies are examined through classroom discussions of case studies and related articles. The course is designed to develop and enhance skills that are essential for the long-term success of career in accounting and finance. Prerequisites:ACTG 2300.,4,Unknown
Accounting,"ACTG 3360 Profit, Planning & Control  (4 Credits)","Comprehensive planning in the corporate environment involving in-depth study of goals, procedures, responsibility, and coordination of planning and control process. Objectives and structuring of planning process, significant problem areas, benchmarks for alternative evaluation processes, and correction and control tools. Prerequisite:ACTG 2300.",4,Unknown
Accounting,ACTG 3440 Business and Investment Tax Issues  (4 Credits),"Income tax conceptual framework applicable to common business and investment transactions, including tax implications of business decisions. How effective business planning depends on accurate assessment of relevant tax factors. Prerequisites:ACTG 2200.",4,Unknown
Accounting,ACTG 3461 Individual Income Tax  (4 Credits),"Federal income tax as it applies to individuals, including discussion of rates, exemptions, deductions, and accounting methods; gross income, property transactions, tax deferred exchanges; business operating taxpayer issues. Prerequisites:ACTG 2200.",4,Unknown
Accounting,ACTG 3462 Corporate & Partnership Tax  (4 Credits),"Federal income tax as applied to the formation, operation and dissolution of business entities.  Determination of corporate taxable income, special deductions, credits, methods of computing tax liability and estimated tax requirements. Determination of partnership and S Corporation ordinary income; classification and amount of separately stated items allocable to partners and S Corporation shareholders in accordance with the conduit principle.",4,Unknown
Accounting,ACTG 3551 Auditing  (4 Credits),"This course covers professional ethics and legal environment, generally accepted auditing standards (GAAS), internal control, audit documentation and auditors reports.",4,Unknown
Accounting,ACTG 3620 Accounting Ethics  (4 Credits),"This course focuses on the idea of community and the ethical and social relationships of accounting leaders and business organizations in their communities. The course focus is on the role of the accounting professional and the unique and special responsibilities associated with that role. This is examined by analyzing a variety of issues that students will face during their careers. The goal is to provide students with generalized understanding and skills that can be employed in dealing with other issues that emerge directly relate to the state Code of Professional Conduct applicable to CPAs, the Code provisions are discussed and analyzed.",4,Unknown
Accounting,ACTG 3701 Topics in Accounting  (1-4 Credits),,4,Unknown
Accounting,ACTG 3702 Topics in Accounting  (1-4 Credits),,4,Unknown
Accounting,ACTG 3703 Topics in Accounting  (1-4 Credits),,4,Unknown
Accounting,ACTG 3704 Topics in Accounting  (1-4 Credits),,4,Unknown
Accounting,ACTG 3705 Topics in Accounting  (4 Credits),Prerequisite:ACTG 3068or instructor's permission.,4,Unknown
Accounting,ACTG 3740 Valuation and Modeling  (4 Credits),"Professional decisions in the face of uncertainty are made using a combination of judgment and sound analysis. Even skilled professionals in any field will make incorrect decisions when working with incorrect or insufficient information or when making careless analyses. One key to improving decision-making is superior analytical insights and skills. Given this, the ultimate purpose of the course is to: 1.  Provide you with experience in identifying critical decisions that can best be improved through analysis of data and modeling. Once key issues are identified. 2. Provide you with the knowledge and insight necessary to identify appropriate (and reject inappropriate) models or analyses. Once an appropriate model or models are identified: 3. Provide you with the tools and skills necessary to correctly use those models by identifying, measuring and evaluating critical factors, data and assumptions. 4. Gain experience in critically evaluating and auditing your work and the work of other professionals. For example, has management used appropriate models, appropriate data and reasonable assumptions in their estimates of fair value for various assets. Prerequisites:INFO 1020,ACTG 2200andFIN 2800.",4,Unknown
Accounting,ACTG 3880 Internship - Undergraduate  (0-4 Credits),Practical work experience.,4,Unknown
Accounting,ACTG 3885 Undergraduate Field Experience  (0 Credits),Compensated work experience; no academic credit. Prerequisite: instructor's permission.,0,Unknown
Accounting,ACTG 3988 Study Abroad Resident Credit  (0-18 Credits),,18,Unknown
Accounting,ACTG 3991 Independent Study  (1-10 Credits),Independent research/study; requires written report. Prerequisite: instructor's permission.,10,Unknown
Accounting,ACTG 3995 Independent Research  (1-10 Credits),,10,Unknown
Advanced Seminar,ASEM 2401 'Extreme' Philosophy: Major Philosophical Issues of the 21st Century  (4 Credits),"This course involves an exploration and critical assessment of several of the most important 21st century philosophical issues: the ""Doomsday Argument,"" the ""Singularity Argument,"" the ""Simulation Argument,"" and various views surrounding the possibility (and probability) of extraterrestrial intelligence (ETI). There are no prior knowledge prerequisites; all necessary background information will be presented in the course. 
Enforced Prerequisites and Restrictions:
Completion of all other Common Curriculum Requirements. However, students may enroll under special circumstances with prior permission of the instructor.",4,Unknown
Advanced Seminar,ASEM 2402 Culture and Identity in American Political Development  (4 Credits),"This course considers the development of American politics over time, through the lens of struggles over culture and identity. We discuss how political and institutional change around these topics happens in the American political system. The first section of the course reviews broad theories in the field of American Political Development, addressing the role of culture, institutions, and policy. We then turn to closer consideration of the ways in which scholars from multiple disciplines have applied these theories to specific areas of American politics. 
Enforced Prerequisites and Restrictions:
Completion of all other Common Curriculum Requirements. However, students may enroll under special circumstances with prior permission of the instructor.",4,Unknown
Advanced Seminar,ASEM 2403 Versions of Egypt  (4 Credits),"This course will study a handful of books that lead up to and study the recent Egyptian Revolutions. We will read Alifa Rifaat’s Distant View of the Minaret, Amitav Ghosh’s In an Antique Land, Alaa al Aswany’s The Yacoubian Building, Wael Ghonim’s Revolution 2.0, and excerpts from Peter Hessler’s forthcoming book about post-revolutionary Egypt. The class will attempt to understand both 21st century Egypt and the aftereffects of the dramatic changes in Egypt since the first revolution of February 2011. Students will write both critical and creative essays for this seminar.",4,Unknown
Advanced Seminar,"ASEM 2404 Music Preference, Identity, Genre, and Recommendation  (4 Credits)","Students examine the relationship between music preferences, personality, and identity. Because music preferences are strongly mediated by cultural industries and institutions, students also examine two of the music industry's tools for connecting listeners to their preferred music: genre systems and a more recent tool, automated music recommendation engines. The course includes three medium-length papers and many written responses to scholarly writing drawn from music psychology, musicology, and music informatics.",4,Unknown
Advanced Seminar,ASEM 2405 Decision-making and Neuroeconomics  (4 Credits),"How do you decide what to buy, who to trust, which job to take, or what you'll want to eat tomorrow? This seminar-style course integrates perspectives from psychology, neuroscience, and economics to understand decision-making, how it is affected by emotions or social contexts, and how it is implemented in the human brain. The course emphasizes active participation, and relies upon primary scientific sources (i.e. peer-reviewed empirical articles). Recommended: a familiarity with at least one of cognitive psychology, human neuroscience, or behavioral economics. Recommended: a familiarity with at least one of cognitive psychology, human neuroscience, or behavioral economics.",4,Unknown
Advanced Seminar,ASEM 2406 Myths of Medieval Encounter  (4 Credits),"Using three case studies (Vikings, Crusaders, and Conquistadors) this course examines how pre-modern authors shaped the image of Europe by depicting foreign cultures and how we sue the texts of the past to understand not just the cultures they describe, but also the changing face of Europe across the centuries.",4,Unknown
Advanced Seminar,ASEM 2407 The Individual in Modern Economies  (4 Credits),"This course discusses the role of the individual in modern economies, and the impact that modern economic systems have on individuals and their lives. The course will include objectives that people pursue in societies, and how the structure of the economic system can help or hinder achieving them. To that end, a conceptual understanding of different perspectives on modern economies will be at the center of the class. Those perspectives will be drawn not only from economic concepts in a narrow sense, but also be informed by sociology, political science, and psychology, among other disciplines.",4,Unknown
Advanced Seminar,ASEM 2408 Income and Wealth Inequality in the 21st Century  (4 Credits),"The work of Emmanuel Saez and Thomas Piketty in the early 2000s revealed that the share of income being captured by the top 1% of income earners has been rising steadily for the past three decades. Their observation was the key stylized fact behind the Occupy Movement rallying cry “We are the 99%!” This seminar on income and wealth inequality takes a closer look at the key empirical discoveries and theoretical insights. In the course of reading Piketty’s book Capital in the 21st Century and supplemental texts representing multiple traditions and perspectives, students engage critically with these topics and the controversies around them. The objective of this course is for students to leave with an in-depth understanding of issues in income and wealth inequality, the controversies around works like Piketty’s book, and their relevance for the economic and political present. 
Enforced Prerequisites: Completion of all other Common Curriculum Requirements. However, students may enroll under special circumstances with prior permission of the instructor.",4,Unknown
Advanced Seminar,"ASEM 2409 Performing India: Performance, Ritual, and the Indian Body Politic  (4 Credits)","This course explores ""performance"" as an organizing principle of Indian cultural, political, and religious expression. We delve into the shared poetic and spiritual experience of the performer and spectator as a foundational aspect of performance that fundamentally shapes the Indian body politic. This interaction between spectator and performer functions as a guide trope as we examine the Pan-Indian oral performance tradition through the transmission, rewriting, recasting, regionalization, and politicization of canonical Indian epics, the ""Mahabharata"" and ""Ramayana"".",4,Unknown
Advanced Seminar,ASEM 2410 Science & Religion in Dialogue  (4 Credits),"This course examines the relationship between science and religion.  Our key question is “What is the best way to understand or construe this relationship?”  We begin by attempting to identify and, then, dispel certain popular “myths” about science and religion.  Then we turn our attention to the life, the scientific discoveries, the religious commitments and struggles of Charles Darwin.  Darwin’s career is the perfect entry point for considering much broader issues in the relationship between science and religion.  Darwin’s evolutionary theory fundamentally shaped modern science.  But in so doing it also raised significant challenges to traditional religious belief, particularly in Christian communities of faith.  For that reason, Darwin is as controversial today as he was 150 years ago, especially in (tho’ not limited to) America.  With that foundation, we shall be in a position to wrestle with a quite recent, thorough-going reassessment of the science/religion debate, one that is both critical and constructive.  Completion of all Common Curriculum requirements is required prior to registering for this class.",4,Unknown
Advanced Seminar,ASEM 2411 Race and the Politics of Punishment  (4 Credits),"This course uses perspectives from history and politics to explore questions about race-based practices and policies in contemporary America. One rich lens on these questions is provided by the current of mass incarceration. Michelle Alexander's book, The New Jim Crow, argues “we have not ended racial caste in America; we have merely redesigned it."" The course investigates her argument: what would it mean for mass incarceration to be the New Jim Crow? What does that framing reveal, and what does it conceal? Students develop a solid understanding of the origins and consequences of race-based practices and policies (whether explicit or implicit) in American politics, as well as of mass incarceration. Specific examples raise broader questions about racism in American political history, political power, and political change.",4,Unknown
Advanced Seminar,ASEM 2412 Emotions in Theatre and the Brain  (4 Credits),"This course examines one core aspect of human nature: emotion, exploring its dimensions from the perspectives of philosophy, psychology, neuroscience, and theatre.",4,Unknown
Advanced Seminar,ASEM 2413 Applied Neural Networks  (4 Credits),"Artificial neural networks (ANN) are a set of important technological tools that have a wide array of practical applications, ranging from weather forecasting to engineering.  This course defines and explains ANNs and how they have been applied to a wide variety of real phenomena.",4,Unknown
Advanced Seminar,"ASEM 2414 Wealth, Power & Justice in the European Union  (4 Credits)","This course explores the regional integration of Europe in the postwar era. Since the European Union ""began"" back in 1950, the central question we consider is why states that fought devastating wars for centuries chose to put down their arms and merge their destinies with a common market, single currency, and binding ""supranational"" legal system. We focus on the evolution of economic and political motivations for integration and the legal pressures that erode state sovereignty today. Completion of all common curriculum requirements is required prior to registering for this class.",4,Unknown
Advanced Seminar,ASEM 2415 Friendships and Communties  (4 Credits),"Students will examine traditional understandings of social capital and how we form and maintain relationships for personal, social, and political ends.  From this background, students will examine new insights about social capital from an interdisciplinary approach (e.g., evolutionary psychology, philosophy, and anthropology).  Finally, students will explore these ""new syntheses"" in relation to contemporary critical issues that cross race, class, and national borders.  Possible examples of such issues include incarceration, homelessness, or the function/effects of social networks like Facebook.",4,Unknown
Advanced Seminar,ASEM 2416 France and Germany: From Carnage to Community  (4 Credits),"Today, much to the United Kingdom's chagrin, the European Union is dominated by a closely cooperating ""dyarchy"" of the French Republic and the Federal Republic of Germany. Go back a century, however, or two or three, and you find France--whether republic (1909), empire (1809), or kingdom (1709)--preparing for war with Germany (1909) or catching her breath between campaigns against various German states (1809, 1709). Hundreds of years of European history are marked and marred by increasingly devastating collisions between these two proud nations. When we review and appreciate that bloody ""back-story,"" their present harmony, indeed on many important matters their unison, is an astonishing outcome, which this course attempts to explain, examining implications for the future of Europe, of the Western alliance, and of the world.",4,Unknown
Advanced Seminar,ASEM 2417 Cultural Dynamics-African American Music  (4 Credits),"This course examines the cultural and psychological functions of various genres of African American music both historically and in contemporary society. The course is built around the thesis that various forms of African American music--e.g., the spirituals, the blues, gospel, jazz, rap - have served common functions in the culture historically (even while serving distinctive needs at different points in history), and have all served as core features of both African American culture and, more broadly, American aesthetic sensibility.",4,Unknown
Advanced Seminar,ASEM 2418 Innnovation Nation  (4 Credits),"An in-depth discussion of the American future, which will be defined for the Millennial generation as one in which a confluence of trends will combine to alter the structure of opportunity. Focus on technological change and who it affects economic and national security, privacy and personal liberty, and employment opportunities. Completion of all other Common Curriculum requirements is required before registering for this class.",4,Unknown
Advanced Seminar,ASEM 2419 Girl Power: Gender in the Media  (4 Credits),"This course employs an interdisciplinary feminist lens to explore the historical construction and meaning of gender and ""girlhood"" in contemporary American media culture. It explores how the various discourses of girlhood are constructed through media images and stories about female youth in mainstream culture. Students learn and practice different forms of critical writing. Completion of all other Common Curriculum requirements is required before registering for this class.",4,Unknown
Advanced Seminar,ASEM 2420 The Cultured Ape  (4 Credits),"Examines the field of human evolutionary psychology.  Evolutionary Psychology examines how human behavior is influenced by our heritage as evolved primates.  It challenges the understanding of humans as ""blank slates"" primarily shaped by their social and cultural environments.  The course considers the implications of this perspective for social policy.",4,Unknown
Advanced Seminar,ASEM 2422 Textual Bodies: Discourse and the Corporeal in American Culture  (4 Credits),"This course explores how bodies acquire meanings, and how those meanings are created, represented, disseminated, or contested through discursive and embodied means. Course practices include close readings of literary, philosophical and visual texts; creative and auto-ethnographic writing exercises; and in-class dance-based movement drills. Prerequisite: Completion of all Common Curriculum requirements is required prior to registering for this class.",4,Unknown
Advanced Seminar,ASEM 2423 The American Road Trip  (4 Credits),"As Frederick Jackson Turner told us back in the 19th Century, American cultural identity has hinged on the idea of an ever-receding frontier and the possibility of reaching it. We will chart how the road figures as both a promise and a burden, and how it reflects changing social and cultural issues in American life. We will consider documents of fiction, philosophy and history as well as film and aspects of popular culture as we consider the America fascination with the road and the careers of its many and diverse travelers. Enrollment restricted to students in the Honors Program.",4,Unknown
Advanced Seminar,ASEM 2424 Poetic Minds  (4 Credits),"How do we know who we are?  How do we know what is real?  How do we decide what is right?  In this ASEM, course participants will trace these key questions from Enlightenment philosophy to British Romantic literature and, finally, to their echoes and afterlives in contemporary literature.",4,Unknown
Advanced Seminar,ASEM 2425 Humans vs. Machines: When will the Robots Leave Us in the Dust?  (4 Credits),"The rise of robotics, automation, big data, cloud computing and artificial intelligence have widely delivered both positive and negative impacts to our economy and society. On the one hand, robots, machines and complex algorithms have drastically improved production, national outputs and economic growth. On the other hand, they have also displaced jobs, weakened human interactions and substantially altered the nature of work and employer-employee relationship across developed and developing countries. This seminar assesses the rise of technology, the disruptions that it entails and the policies needed to confront those changes. The objective of this course is for students to be informed and engaged with opposing arguments and approaches that characterize the creation, promotion, use and problems created by the current and future waves of technological change. The ""replicants"" are rising; can the humans fight back?.",4,Unknown
Advanced Seminar,"ASEM 2426 Narrating Memory, History, Space in the City  (4 Credits)","This course draws on a variety of anthropological questions, theoretical approaches, and methodological techniques to examine the city and city life. It begins with the origins and development of cities and the identification of urban areas as sites for investigation in social theory. It next turns attention to exploring how ethnographers link everyday life on the social periphery to larger historical, political, and economic processes. A major course theme is understanding how urban spaces shape identities and communities, and it uses Denver's changing urban landscape to illustrate the theme. The course considers the basic human practice of listening to stories, as well as the meaning of narration in and about the city.",4,Unknown
Advanced Seminar,"ASEM 2427 Mid-Century Mod, Redrawn  (4 Credits)","Studying the art history of the mid-20th Century is not an exercise in nostalgia but a study of the way we think, communicate, and innovate. Artists like Grace Hartigan, Tadeusz Kantor, and El Anatsui illustrate creative labor in a rapidly changing, globalizing world.  This course, designed for all majors as part of the advanced seminar common curriculum requirement, takes in part its inspiration from MoMA's initiative Contemporary and Modern Art Perspectives, which aims to redraw understandings of modernism within the purview of global art history and larger cultural framework, including social, political, economic, and intellectual. The course reconsiders the 1950s and 1960s and the notion of ""modernity"" from multiple geographies and identities: Western and Central-Eastern Europe, Latin and North America, and Africa.",4,Advanced
Advanced Seminar,"ASEM 2428 Religion, Nation, and Money  (4 Credits)","Primarily through the lens of Religious Studies, this course, accessible to students from various majors, explores the intellectual history and continued existence of Manifest Destiny in the United States and fosters nuanced perspective concerning the construction of American Identity and U.S. Nationalism. Students examine the relationship between the following: religion and capitalism, religion and national identity, religion and ethnic particularity, religion and race, and religion and armed conflict. Prerequisite: Completion of all other Common Curriculum Requirements. However, students may enroll under special circumstances with prior permission of the instructor.",4,Unknown
Advanced Seminar,ASEM 2429 Media Infrastructures and Materiality  (4 Credits),"While people often think of the internet as existing over the air and cell phones as untethered allowing fluid mobility, these digital technologies have a physical and material infrastructure. This course examines and interrogates the materiality of digital technology (cell towers, underwater sea cables, data centers, internet cafes, etc.) and explores ""the digital"" as a feature of the human within social and historical contexts. The course draws on multiple perspectives to examine the intersection of technology and society in everyday lives by using an ethnographic methodology. Participants working in research teams to carry out ethnographic research, media studies research, and interview-based research to produce media products (audio or video documentary, social media campaign, public art installation, website, or so on) to report about a media infrastructure to be shared publicly in Denver. Prerequisite: Completion of all other Common Curriculum Requirements. However, students may enroll under special circumstances with prior permission of the instructor.",4,Unknown
Advanced Seminar,ASEM 2430 Romanticism in Germany  (4 Credits),"The German Romantic movement of the late 18th and early 19th-centuries was one of the most exciting and perilous intellectual adventures in the history of western culture. Some of the most daring, creative and prophetic work was done at this time, and it dramatically affected nearly every facet of German culture, inspiring novel, sometimes unprecedented, developments in philosophy, aesthetics, poetry, literature, music and criticism.  Nor were these developments limited to German culture, but extended to its politics and efforts to form a unified national front against the deracinating effects of industrialization and modernization. The course traces these developments through an exploration of some of the seminal figures, themes and ideas of the Romantic period, primarily in relation to their intersection with philosophy, politics and art and German history. Prerequisites: Completion of all Common Curriculum requirements is required prior to registering for this class.",4,Unknown
Advanced Seminar,ASEM 2434 American Film Censorship and the Hollywood Production Code  (4 Credits),"This course focuses on the evolution of censorship in American cinema and its wider implications. Such focus involves careful examination of the moral, political, and social choices that impact ""what"" stories can be told and ""how"" they are told. The course emphasizes critical analyses of how social values and norms influence cinematic storytelling and aesthetics. Prerequisites: Completion of all Common Curriculum requirements is required prior to registering for this class.",4,Unknown
Advanced Seminar,ASEM 2435 Utopia and Dystopia: Brazilian Art & Culture in the Latin American Context  (4 Credits),"This course is an interdisciplinary examination of utopia, and its counterpart dystopia, in Brazilian art and culture. “Utopia and Dystopia” traces the history of these concepts through theoretical readings and in-depth analyses of specific projects in Brazilian art, architecture, literature, music, and cinema. Upon successful completion of the course, students understand how these two concepts have shaped Brazilian identities both from within and as imposed by colonialist projects from without. Students develop advanced writing skills by comparing and contrasting different expressions of the utopia/dystopia dichotomy and by analyzing cultural artifacts from several different traditions in Brazil and, more widely, in Latin America.",4,Advanced
Advanced Seminar,ASEM 2436 Life and Death  (4 Credits),"In this course, students examine several of the moral issues concerning the circumstances under which it is appropriate for humans to bring about life or death. For example, is it morally permissible to bring about, and subsequently destroy, human life in a petri dish? Is it permissible to bring about the death of people who have killed others? We examine and evaluate others' responses to such issues. En route to answering these questions, we pay significant attention to the scientific and empirical factors relevant to which moral responses we should have and to the legal factors determining the actual policies we do have.",4,Unknown
Advanced Seminar,ASEM 2437 Rhetorics of Monstrosity  (4 Credits),"In this course we will examine how the construct of monstrosity can help us understand societal, political, and cultural meanings around race, class, gender, sexuality, and ability.  Monsters can tell us a great deal about the cultures that produce them, such as their social anxieties and ideological struggles.  We will examine monstrosity rhetorically in order to gain tools to critically unpack nuanced and complex issues of power and difference.",4,Unknown
Advanced Seminar,ASEM 2438 Music and Language  (4 Credits),"Music and language are two of the most complex and powerful communication systems shared by humans globally.  Drawing on methods and theories from anthropology, ethnomusicology, cognitive psychology, and literary theory, students in this seminar explore the music-language interface from interdisciplinary and cross-cultural perspectives.",4,Unknown
